domain,category
cjonline.com,whitelist
thestar.com,whitelist
torontosun.com,whitelist
transparency.org,whitelist
transpartisanreview.com,whitelist
tribunemagazine.org,whitelist
tribunecontentagency.com,whitelist
trueviralnews.com,whitelist
truthagainstthemachine.com,whitelist
truthbetold.news,whitelist
truthdig.com,whitelist
truthorfiction.com,whitelist
tulsaworld.com,whitelist
turkeyandfacts.com,whitelist
tvw.org,whitelist
undark.org,whitelist
unicornriot.ninja,whitelist
uft.org,whitelist
upi.com,whitelist
house.gov,whitelist
universitybusiness.com,whitelist
uproxx.com,whitelist
upworthy.com,whitelist
urban.org,whitelist
gao.gov,whitelist
usnews.com,whitelist
usafacts.org,whitelist
usaspending.gov,whitelist
usatoday.com,whitelist
upr.org,whitelist
standard.net,whitelist
valuewalk.com,whitelist
vancouversun.com,whitelist
vanityfair.com,whitelist
verafiles.org,whitelist
verifiedpolitics.com,whitelist
verrit.com,whitelist
vocativ.com,whitelist
voanews.com,whitelist
voiceofsandiego.org,whitelist
vosizneias.com,whitelist
votesmart.org,whitelist
votevets.org,whitelist
vox.com,whitelist
vulture.com,whitelist
wsj.com,whitelist
wallstreetonparade.com,whitelist
warontherocks.com,whitelist
washingtonbabylon.com,whitelist
washingtonblade.com,whitelist
washingtonexaminer.com,whitelist
washingtonjournal.com,whitelist
washingtonmonthly.com,whitelist
washingtonpost.com,whitelist
washingtontimes.com,whitelist
rep-am.com,whitelist
wearethemighty.com,whitelist
wearyourvoicemag.com,whitelist
weeklystandard.com,whitelist
westmonster.com,whitelist
wgntv.com,whitelist
whatmattersnews.com,whitelist
kansas.com,whitelist
wikinews.org,whitelist
wikipedia.org,whitelist
wikitribune.com,whitelist
sungazette.com,whitelist
windsorstar.com,whitelist
wingsoverscotland.com,whitelist
winonadailynews.com,whitelist
journalnow.com,whitelist
wired.com,whitelist
madison.com,whitelist
wnyc.org,whitelist
wilsoncenter.org,whitelist
worldaffairsjournal.org,whitelist
weforum.org,whitelist
wn.com,whitelist
worldpolicy.org,whitelist
worldpoliticsreview.com,whitelist
worldpress.org,whitelist
wri.org,whitelist
wsws.org,whitelist
worldtribune.com,whitelist
worldcrunch.com,whitelist
wral.com,whitelist
yellowhammernews.com,whitelist
yesmagazine.org,whitelist
ynetnews.com,whitelist
ydr.com,whitelist
yaf.org,whitelist
youthradio.org,whitelist
zcomm.org,whitelist
zdf.de,whitelist
tribuneindia.com,blacklist
fakenews.com,blacklist
clickbaitnews.org,blacklist
hoaxdaily.info,blacklist
rumorsite.net,blacklist
infowars.com,blacklist
worldtruth.tv,blacklist
naturalnews.com,blacklist
theonion.com,blacklist
dailybuzzlive.com,blacklist
truthfrequencyradio.com,blacklist
yournewswire.com,blacklist
politicalo.com,blacklist
endingthefed.com,blacklist
bients.com,blacklist
nodisinfo.com,blacklist
newsbiscuit.com,blacklist
derfmagazine.com,blacklist
